word1,word2,sim
человек,невидимка,25
человек,хороший,25
человек,амфибия,22
человек,добрый,21
человек,разумный,18
человек,животное,16
человек,умный,16
человек,зверь,15
человек,обезьяна,13
человек,большой,12
человек,друг,10
человек,дела,9
человек,люди,9
человек,земля,8
человек,любимый,8
человек,существо,8
человек,гордый,7
человек,я,7
человек,личность,6
человек,плохой,6
человек,разум,6
человек,человек,6
человек,это звучит гордо,6
человек,в футляре,5
человек,закон,5
человек,красивый,5
человек,сильный,5
человек,слова,5
человек,веселый,4
человек,гордость,4
человек,гражданин,4
человек,жизнь,4
человек,машина,4
человек,мужчина,4
человек,анатомия,3
человек,без имени,3
человек,загадка,3
человек,индивид,3
человек,милый,3
человек,незнакомый,3
человек,с большой буквы,3
человек,свой,3
человек,смелый,3
человек,царь,3
друг,верный,69
друг,враг,47
друг,детства,33
друг,мой,28
друг,товарищ,27
друг,лучший,20
друг,собака,17
друг,близкий,16
друг,хороший,16
друг,милый,12
друг,брат,10
друг,подруга,10
друг,единственный,9
друг,надежный,9
друг,настоящий,9
друг,недруг,9
друг,закадычный,8
друг,детство,5
друг,человека,5
друг,круг,4
друг,любимый,4
друг,приятель,4
друг,семьи,4
друг,сердечный,4
друг,старый,4
друг,хорошо,4
друг,человек,4
друг,большой,3
друг,вдруг,3
друг,верность,3
друг,жизни,3
друг,преданный,3
время,деньги,14
время,вперед,5
время,не ждет,5
время,часы,5
время,бежит,4
время,пришло,4
время,программа,4
время,года,3
время,идет,3
время,телевизор,3
жизнь,смерть,62
жизнь,прекрасна,30
жизнь,долгая,16
жизнь,хороша,16
жизнь,коротка,13
жизнь,жестянка,12
жизнь,короткая,12
жизнь,тяжелая,12
жизнь,моя,9
жизнь,прожить,9
жизнь,длинная,8
жизнь,прожить не поле перейти,7
жизнь,взаймы,6
жизнь,дорога,6
жизнь,интересная,6
жизнь,продолжается,6
жизнь,прошла,6
жизнь,хорошо,6
жизнь,человека,6
жизнь,веселая,4
жизнь,любовь,4
жизнь,поле,4
жизнь,прекрасная,4
жизнь,река,4
жизнь,сложная,4
жизнь,судьба,4
жизнь,счастливая,4
жизнь,большая,3
жизнь,вечность,3
жизнь,впереди,3
жизнь,долго,3
жизнь,и смерть,3
жизнь,идет,3
жизнь,клима самгина,3
жизнь,наша,3
жизнь,прекрасно,3
жизнь,радость,3
жизнь,существование,3
жизнь,счастье,3
жизнь,трудная,3
россия,страна,23
россия,родина,16
россия,мать,8
россия,молодая,7
россия,матушка,5
россия,наша,3
россия,флаг,3
мир,миру,6
мир,большой,5
мир,война,5
мир,труд= май,5
мир,огромный,3
мир,планета,3
мир,тесен,3
работа,трудная,50
работа,не волк,33
работа,тяжелая,33
работа,интересная,24
работа,любимая,24
работа,забота,22
работа,труд,20
работа,отдых,16
работа,учеба,11
работа,хорошая,10
работа,волк,9
работа,дело,9
работа,легкая,9
работа,дом,7
работа,кипит,7
работа,лень,7
работа,нравится,7
работа,сложная,7
работа,усталость,7
работа,есть работа,6
работа,школа,6
работа,по душе,5
работа,спорится,5
работа,деньги,4
работа,домашняя,4
работа,жизнь,4
работа,завод,4
работа,моя,4
работа,нудная,4
работа,плохая,4
работа,радость,4
работа,скучная,4
работа,адская,3
работа,большая,3
работа,в школе,3
работа,глупая,3
работа,делать,3
работа,долг,3
работа,дома,3
работа,занятие,3
работа,каторга,3
работа,кошмар,3
работа,на дому,3
работа,над ошибками,3
работа,не убежит,3
работа,нужная,3
работа,станок,3
работа,тяжкая,3
работа,увлекательная,3
работа,утро,3
работа,учителя,3
ребенок,маленький,79
ребенок,мой,17
ребенок,плачет,13
ребенок,взрослый,10
ребенок,дитя,9
ребенок,малыш,9
ребенок,милый,9
ребенок,здоровый,8
ребенок,счастье,8
ребенок,капризный,7
ребенок,сын,7
ребенок,любимый,6
ребенок,чужой,6
ребенок,больной,5
ребенок,дите,5
ребенок,играет,5
ребенок,мать,5
ребенок,счастливый,5
ребенок,человек,5
ребенок,веселый,4
ребенок,глупый,4
ребенок,дети,4
ребенок,жеребенок,4
ребенок,красивый,4
ребенок,кричит,4
ребенок,малый,4
ребенок,мальчик,4
ребенок,младенец,4
ребенок,пеленки,4
ребенок,радость,4
ребенок,родился,4
ребенок,умный,4
ребенок,грудной,3
ребенок,живой,3
ребенок,заболел,3
ребенок,коляска,3
ребенок,наш,3
ребенок,плач,3
ребенок,послушный,3
ребенок,спит,3
ребенок,теленок,3
ребенок,чудо,3
страна,советов,80
страна,родная,65
страна,большая,46
страна,огромная,38
страна,дураков,28
страна,моя,28
страна,наша,23
страна,родина,21
страна,ссср,18
страна,государство,14
страна,советская,14
страна,россия,13
страна,чудес,13
страна,город,9
страна,карта,8
страна,великая,6
страна,земля,4
страна,мир,4
страна,далекая,3
страна,люди,3
страна,отчизна,3
страна,широка,3
город,большой,55
город,деревня,36
город,герой,24
город,родной,22
город,село,20
город,москва,17
город,дома,15
город,челябинск,14
город,красивый,10
город,мой,9
город,спит,9
город,саратов,8
город,детства,7
город,горький,6
город,дом,6
город,принял,6
город,шум,6
